iter	RMSE
229	0.5906382948
230	0.5876133631
231	0.5845416071
232	0.5818943244
233	0.5800770934
234	0.5768517684
235	0.5745571844
236	0.5712239645
237	0.5678697713
238	0.5666378335
239	0.5636429899
240	0.5623402559
241	0.56178206
242	0.5605278809
243	0.5599910167
244	0.5567943698
245	0.5542424945
246	0.5515164661
247	0.5487410374
248	0.5483019748
249	0.5477475491
250	0.5472891558
251	0.5436727983
252	0.5397341493
253	0.5392946055
254	0.5382074346
255	0.5354236165
256	0.5349918292
257	0.5344017475
258	0.5317739926
259	0.531369083
260	0.5309331936
261	0.5279254032
262	0.5275023497
263	0.5240637711
264	0.5236530655
265	0.523326589
266	0.5207482747
267	0.5188712002
268	0.5184850371
269	0.5181444463
270	0.5146219452
271	0.5129007738
272	0.5125366186
273	0.5101521234
274	0.5098378494
275	0.5067105206
276	0.5049435385
277	0.5046060132
278	0.5016261006
279	0.5012987963
280	0.5009784516
281	0.5006649131
282	0.5003589709
283	0.4975159645
284	0.4960857107
285	0.4931093062
286	0.4928168483
287	0.4895237094
288	0.486665818
289	0.4839463506
290	0.4813380946
291	0.4784152698
292	0.4766823819
293	0.4751150944
294	0.4735516327
295	0.470983227
296	0.4697747026
297	0.4695188106
298	0.4681095869
299	0.4678654141
300	0.4650355615
301	0.46275319
302	0.4625154483
303	0.4614600039
304	0.4604288384
305	0.4580045002
306	0.4555185221
307	0.4542323417
308	0.4518497347
309	0.4506135869
310	0.4482904255
311	0.4471805069
312	0.4462070089
313	0.4438659496
314	0.4414995496
315	0.4404645951
316	0.438506498
317	0.4361635775
318	0.4344935323
319	0.4324140313
320	0.4311472647
321	0.4298723462
322	0.4278927685
323	0.4261927109
324	0.4238989475
325	0.4226663157
326	0.4214847729
327	0.4202866674
328	0.41858777
329	0.4176006334
330	0.4164867662
331	0.4143543802
332	0.4132789019
333	0.4122447285
334	0.4109896826
335	0.410235106
336	0.4076119794
337	0.40668793
338	0.4060076968
339	0.4050249799
340	0.402957381
341	0.4008798062
342	0.3989340449
343	0.3974973316
344	0.3959779625
345	0.3946395886
346	0.3925485191
347	0.3916408793
348	0.3902986967
349	0.388443569
350	0.3875618873
351	0.3863060879
352	0.3850365066
353	0.3830042518
354	0.3817820367
355	0.3804460526
356	0.37924897
357	0.3784538632
358	0.3768066838
359	0.3749224166
360	0.3743104607
361	0.3737204963
362	0.3722110539
363	0.3715030663
364	0.3703182351
365	0.3689746502
366	0.3672580645
367	0.3664617087
368	0.3647338852
369	0.3639990589
370	0.3632472843
371	0.3625475238
372	0.36169547
373	0.3602438725
374	0.3594553126
375	0.3579734718
376	0.3572588792
377	0.3557725226
378	0.3543501628
379	0.3526265319
380	0.3519603633
381	0.3508823431
382	0.3497005139
383	0.3487983866
384	0.3475023463
385	0.3463900199
386	0.3453229464
387	0.344854734
388	0.3435403984
389	0.3425767086
390	0.3416707216
391	0.3409368626
392	0.3396938344
393	0.338592791
394	0.3373734565
395	0.3366657543
396	0.3353812293
397	0.334040263
398	0.3326849764
399	0.3318555402
400	0.3308321639
401	0.3300487205
402	0.3287270979
403	0.3281571123
404	0.3272210833
405	0.3265169499
406	0.3258226346
407	0.3243822099
408	0.3233929794
409	0.3226198888
410	0.3212768183
411	0.3204223026
412	0.3189916257
413	0.3179013184
414	0.3166077776
415	0.3159080688
416	0.3145844812
417	0.3139909346
418	0.3127694837
419	0.3121122166
420	0.3115009725
421	0.3110196344
422	0.3098247216
423	0.3094001946
424	0.3086173151
425	0.3078678159
426	0.3067118397
427	0.3060589829
428	0.3054104312
429	0.3050095862
430	0.3037141334
431	0.303287329
432	0.3026945756
433	0.3019831887
434	0.3006422639
435	0.2996045945
436	0.2985939034
437	0.2977347063
438	0.296416997
439	0.295841827
440	0.2949506683
441	0.2942308884
442	0.2936967622
443	0.2929519128
444	0.2919889856
445	0.2908414986
446	0.2898571205
447	0.2885460609
448	0.2881186354
449	0.2875800418
450	0.286980223
451	0.2862741647
452	0.2858253452
453	0.2852725188
454	0.2848187717
455	0.2842576734
456	0.2830062412
457	0.2818146422
458	0.2807853712
459	0.2803009275
460	0.2794017502
461	0.2786394424
462	0.2773212722
463	0.2768437714
464	0.2764073162
465	0.2759788637
466	0.2748911416
467	0.2737651185
468	0.2733503865
469	0.2729230473
470	0.2717003924
471	0.2711312585
472	0.2706366144
473	0.2702384388
474	0.2698008241
475	0.2688141718
476	0.2677052752
477	0.2668491897
478	0.2661748096
479	0.2652419141
480	0.2641270528
481	0.2632065438
482	0.2626924404
483	0.2622693533
484	0.261315086
485	0.26099238
486	0.2599600504
487	0.2594674901
488	0.2590127318
489	0.2583529822
490	0.2578792284
491	0.2573165834
492	0.2565342207
493	0.2561225103
494	0.2550815098
495	0.2540743443
496	0.2536920327
497	0.2533303264
498	0.2527273525
499	0.252277925
500	0.2519542193
501	0.2510246418
502	0.2503827055
503	0.2495157966
504	0.2491828248
505	0.248841847
506	0.2483157375
507	0.2473548426
508	0.2470364542
509	0.2466857079
510	0.2460625633
511	0.2455209842
512	0.2449229418
513	0.2443667091
514	0.2439637993
515	0.2428985101
516	0.2421367547
517	0.2413428434
518	0.2409532545
519	0.2405658283
520	0.2397011754
521	0.239062408
522	0.2386587049
523	0.2378330614
524	0.2370411088
525	0.236652075
526	0.2358387843
527	0.2355814511
528	0.2349474795
529	0.2343284451
530	0.2338766311
531	0.233068061
532	0.2323351256
533	0.2312122672
534	0.2308915934
535	0.2305401214
536	0.2302151394
537	0.2291549896
538	0.2281329049
539	0.2276671528
540	0.2273536642
541	0.2267908777
542	0.2264111406
543	0.2259445505
544	0.2248677274
545	0.2245686073
546	0.2243121145
547	0.2235480498
548	0.2228298551
549	0.222502275
550	0.2220790123
551	0.2219127638
552	0.2210959919
553	0.2204498716
554	0.2197326168
555	0.2191949561
556	0.2187668993
557	0.2181196277
558	0.2177439816
559	0.2171432883
560	0.216902439
561	0.2164323535
562	0.2159950454
563	0.2155894977
564	0.2153624481
565	0.2147142427
566	0.2142955766
567	0.2136273393
568	0.2129430236
569	0.2125283346
570	0.2123554251
571	0.2118030431
572	0.2115191209
573	0.2108911078
574	0.2103220576
575	0.2093633467
576	0.2088612636
577	0.2085078544
578	0.2081896379
579	0.2079570833
580	0.2075255556
581	0.2074237674
582	0.2069390402
583	0.2067714765
584	0.2062466032
585	0.2057556887
586	0.2052947375
587	0.2050394713
588	0.2047463605
589	0.2045203562
590	0.2038528888
591	0.2034086514
592	0.202620308
593	0.2019884104
594	0.2017889969
595	0.2015463622
596	0.2011216462
597	0.2007450391
598	0.199941692
599	0.1992609876
600	0.1987566854
601	0.1979483922
602	0.1974562096
603	0.1967900673
604	0.196555514
605	0.1959857263
606	0.1955621251
607	0.1950062777
608	0.1946405009
609	0.1938760233
610	0.1935770267
611	0.1932073858
612	0.1927057631
613	0.1923076041
614	0.1918052507
615	0.1913483119
616	0.1910752505
617	0.1907703402
618	0.1904300527
619	0.1898772256
620	0.1895576102
621	0.1893457198
622	0.1888701917
623	0.1885678352
624	0.1878313131
625	0.1875401494
626	0.1871801404
627	0.1867797345
628	0.1862949237
629	0.1857399882
630	0.1855476804
631	0.1852568572
632	0.1847535153
633	0.1842578852
634	0.1840930428
635	0.1838550134
636	0.183639291
637	0.1828729571
638	0.1824293115
639	0.1819365612
640	0.1816722823
641	0.1809918914
642	0.1807746149
643	0.1803113971
644	0.1800231726
645	0.1796508967
646	0.1790461518
647	0.1784625047
648	0.1780232497
649	0.1777437138
650	0.1774384578
651	0.1769257747
652	0.1767495839
653	0.1764282723
654	0.1759252893
655	0.1754794031
656	0.175066599
657	0.1746772867
658	0.1745301567
659	0.1741064441
660	0.1737904863
661	0.1736473132
662	0.1733812981
663	0.1727739499
664	0.1725284353
665	0.1720016514
666	0.1716027855
667	0.1711854411
668	0.1708427482
669	0.170682309
670	0.1703354535
671	0.1698941683
672	0.1695513705
673	0.1693953936
674	0.1689492858
675	0.1685776398
676	0.1683335092
677	0.1679911544
678	0.1677480007
679	0.1673715947
680	0.1670535772
681	0.1667257161
682	0.166240332
683	0.165813954
684	0.1655543572
685	0.1652348369
686	0.1650886344
687	0.1646787566
688	0.1645379166
689	0.1642338059
690	0.1639348981
691	0.1634966324
692	0.1631619883
693	0.1628917761
694	0.1625923423
695	0.1623214938
696	0.1619332551
697	0.161628991
698	0.1612516628
699	0.1608341852
700	0.1605772119
701	0.1602213705
702	0.1599143134
703	0.1596467435
704	0.1594964114
705	0.159113837
706	0.1587427614
707	0.1584989641
708	0.1581186277
709	0.1577169932
710	0.1574908548
711	0.1569938704
712	0.1568069733
713	0.1567057639
714	0.1561888022
715	0.1561123527
716	0.1558584881
717	0.1557182491
718	0.1554611487
719	0.1552046527
720	0.1549815751
721	0.1545026295
722	0.1541946686
723	0.1540007429
724	0.1537664823
725	0.1533404884
726	0.1529641334
727	0.1527480693
728	0.1524908914
729	0.1523379801
730	0.1519671481
731	0.1517214088
732	0.1511920078
733	0.1508202203
734	0.1505884411
735	0.1502472565
736	0.1501507347
737	0.1499107485
738	0.1496441449
739	0.1491684165
740	0.1486801314
741	0.1484337609
742	0.1481084732
743	0.1479127948
744	0.1476990005
745	0.1474426304
746	0.1472872099
747	0.1472007498
748	0.1467683074
749	0.1464670467
750	0.1462612803
751	0.1460273517
752	0.1457180724
753	0.1454443772
754	0.1452014177
755	0.1448439319
756	0.1444097421
757	0.1441456669
758	0.1439412882
759	0.1435439505
760	0.1433437099
761	0.1430767059
762	0.1427094353
763	0.1425356473
764	0.1423136597
765	0.14218202
766	0.1419682128
767	0.1418046929
768	0.1416577084
769	0.1413707862
770	0.1410266198
771	0.14092892
772	0.1407043033
773	0.140320856
774	0.1399849115
775	0.1396151446
776	0.1394436918
777	0.1390865231
778	0.1389925934
779	0.1388210352
780	0.1385089236
781	0.1382049177
782	0.1379573531
783	0.1377138088
784	0.137448291
785	0.137256906
786	0.1370835558
787	0.1369115551
788	0.1366347972
789	0.1363597443
790	0.136201803
791	0.135972955
792	0.135657965
793	0.135427924
794	0.1352338054
795	0.1350948545
796	0.1349010505
797	0.1347127525
798	0.1345957054
799	0.1343490807
800	0.1340356918
801	0.1338850126
802	0.1335666975
803	0.1333604233
804	0.1330382685
805	0.1327281064
806	0.1324589138
807	0.1321783267
808	0.1319749311
809	0.131840374
810	0.1314593037
811	0.1312409812
812	0.1310716026
813	0.1307653292
814	0.1305724128
815	0.1303034906
816	0.1300596836
817	0.1299773587
818	0.1297706858
819	0.1296446885
820	0.129329666
821	0.1291061698
822	0.1287671412
823	0.1286327172
824	0.1283941031
825	0.1282097692
826	0.1280009701
827	0.1278171184
828	0.1276400037
829	0.1272821814
830	0.1270178509
831	0.1268487185
832	0.1267680303
833	0.1264172347
834	0.1262601125
835	0.1261044953
836	0.1259366152
837	0.125775973
838	0.1255806909
839	0.1254305988
840	0.1252801279
841	0.125052775
842	0.1246973754
843	0.1245769919
844	0.1244652156
845	0.124197883
846	0.1240306275
847	0.1238460424
848	0.1237122785
849	0.1235778687
850	0.1233604717
851	0.1230516958
852	0.1229052432
853	0.1226312047
854	0.1223978784
855	0.1221896872
856	0.1219393453
857	0.1216815923
858	0.1214797654
859	0.1212516246
860	0.1210362545
861	0.1208213403
862	0.1206250079
863	0.1204706028
864	0.1201638416
865	0.1199399469
866	0.1198003916
867	0.1196214488
868	0.1195448831
869	0.119315291
870	0.1190823685
871	0.1189599092
872	0.1187595976
873	0.1184748877
874	0.1182075118
875	0.1180400301
876	0.1178699851
877	0.1177349292
878	0.1175582487
879	0.1173770101
880	0.1172301958
881	0.1171428732
882	0.1169041967
883	0.1166748048
884	0.1165136493
885	0.1164175602
886	0.116233464
887	0.1161410908
888	0.1160337968
889	0.1158244042
890	0.1155495993
891	0.1153067757
892	0.1150867224
893	0.1148311113
894	0.1146898362
895	0.1145437275
896	0.11435361
897	0.1141190263
898	0.1139490167
899	0.1137677623
900	0.1135039796
901	0.1133290304
902	0.1131910583
903	0.1130519351
904	0.1128656727
905	0.112777411
906	0.1127242957
907	0.1125724891
908	0.1124254828
909	0.1122925923
910	0.1120883258
911	0.111914426
912	0.1117324976
913	0.1114121024
914	0.1112447815
915	0.1110824245
916	0.1109404429
917	0.1108225695
918	0.1105715708
919	0.1105297864
920	0.1104405829
921	0.110293738
922	0.1101532225
923	0.1100384398
924	0.1099384457
925	0.1097358911
926	0.1096762626
927	0.1096033919
928	0.1093622768
929	0.1092090347
930	0.1089897942
931	0.1088913657
932	0.1086498515
933	0.1084072927
934	0.108350582
935	0.1081635115
936	0.1080271172
937	0.1078431702
938	0.1078080071
939	0.1076660613
940	0.107452259
941	0.1071963345
942	0.107142048
943	0.1070850792
944	0.1067878927
945	0.1066346135
946	0.10653239
947	0.1063505959
948	0.1062047417
949	0.1060374704
950	0.105926112
951	0.1059011312
952	0.1057726795
953	0.1056430274
954	0.1054759974
955	0.105262779
956	0.105148649
957	0.1049211869
958	0.1047115087
959	0.1046317576
960	0.1045244236
961	0.1043812126
962	0.1042791096
963	0.1041084154
964	0.1039472663
965	0.1037763339
966	0.1035678606
967	0.1034257497
968	0.1032237656
969	0.1031222508
970	0.1029327188
971	0.1027848648
972	0.1026620416
973	0.1025514802
974	0.1024741134
975	0.1022837074
976	0.1020423554
977	0.1019427148
978	0.1017965492
979	0.1015699278
980	0.1014744932
981	0.1012687639
982	0.1010561093
983	0.1009304226
984	0.1008487342
985	0.1007335163
986	0.1005617245
987	0.1004584969
988	0.100257548
989	0.1000273325
990	0.09990497164
991	0.09974181894
992	0.09960589501
993	0.09952884664
994	0.09937790783
995	0.09922082955
996	0.09906968976
997	0.09889718396
998	0.09868442071
999	0.09859941182
